country,continent,cases,todayCases,deaths,todayDeaths,recovered,active,critical,tests,population,casesPerOneMillion,deathsPerOneMillion,updated,event_ts,updated_ts,cases_per_million,deaths_per_million,tests_per_thousand,ingest_time,source_system,event_date
Denmark,Europe,3183760,4,8814,0,3174942,0,0,129333112,5834950,545636.0,1511.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,545636.21,1510.55,22165.25,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Montserrat,North America,1403,0,8,0,1376,19,0,17763,4965,282578.0,1611.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,282578.05,1611.28,3577.64,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Pakistan,Asia,1581951,15,30664,0,1538689,12583,0,30589339,229488994,6893.0,134.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,6893.36,133.62,133.29,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Suriname,South America,82588,0,1408,0,0,81180,0,242208,596831,138378.0,2359.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,138377.53,2359.13,405.82,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Faroe Islands,Europe,34659,1,28,0,0,34630,0,778000,49233,703959.0,569.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,703979.04,568.72,15802.41,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Mongolia,Asia,1011496,0,2284,0,1009212,0,0,4030052,3378078,299429.0,676.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,299429.44,676.12,1193.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Iran,Asia,7627223,37,146812,1,0,7480375,0,57320303,86022837,88665.0,1707.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,88665.09,1706.66,666.34,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Trinidad And Tobago,North America,191496,0,4390,0,187078,28,0,913290,1406585,136143.0,3121.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,136142.5,3121.03,649.3,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Antigua And Barbuda,North America,9107,1,146,0,8954,6,0,18902,99509,91509.0,1467.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,91519.36,1467.2,189.95,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Uae,Asia,1067030,0,2349,0,0,1064681,0,200732266,10081785,105837.0,233.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,105837.41,232.99,19910.39,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Guyana,South America,74138,1,1300,0,72013,824,0,733219,794045,93366.0,1637.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,93367.5,1637.19,923.4,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Taiwan,Asia,10241524,1,19005,0,10222518,0,0,30742324,23888595,428720.0,796.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,428720.23,795.57,1286.9,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Isle Of Man,Europe,38009,1,116,0,0,37892,0,150753,85732,443335.0,1353.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,443346.71,1353.05,1758.42,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Togo,Africa,39577,5,290,0,39281,1,0,815206,8680837,4559.0,33.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,4559.12,33.41,93.91,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Chad,Africa,7712,11,194,0,4874,2633,0,191345,17413580,442.0,11.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,442.87,11.14,10.99,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Timor-leste,Asia,23461,1,138,0,23102,220,0,278529,1369429,17131.0,101.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,17131.96,100.77,203.39,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Cuba,North America,1115252,1,8530,0,1106660,61,0,14402674,11305652,98645.0,754.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,98645.53,754.49,1273.94,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Luxembourg,Europe,391232,0,1232,0,0,390000,0,4587146,642371,609044.0,1918.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,609043.68,1917.89,7140.96,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Monaco,Europe,17182,1,67,0,0,17114,0,78646,39783,431868.0,1684.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,431893.02,1684.14,1976.87,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Panama,North America,1059893,0,8727,0,1051102,64,16,7882627,4446964,238341.0,1962.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,238340.81,1962.46,1772.59,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Thailand,Asia,4770151,2,34587,1,4692636,42927,0,17273476,70078203,68069.0,494.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,68068.97,493.55,246.49,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Uzbekistan,Asia,253672,10,1637,0,241486,10539,23,1377952,34382084,7378.0,48.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,7378.03,47.61,40.08,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Georgia,Asia,1861668,3,17132,0,0,1844533,0,16920080,3968738,469082.0,4317.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,469083.12,4316.74,4263.34,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Singapore,Asia,3006159,4,2024,0,3004131,0,4,24756673,5943546,505785.0,341.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,505785.44,340.54,4165.3,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Kuwait,Asia,667161,3,2570,0,0,664588,0,8455746,4380326,152308.0,587.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,152308.53,586.71,1930.39,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Mali,Africa,33165,1,743,0,32332,89,0,804911,21473764,1544.0,35.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,1544.44,34.6,37.48,2025-08-23 18:53:13.025,disease.sh,2025-08-23
